iter	Logloss
0	0.6529490349
1	0.6202870182
2	0.5900168522
3	0.564569928
4	0.544569286
5	0.5259788199
6	0.5084712696
7	0.4939082416
8	0.480145728
9	0.468400702
10	0.4576236993
11	0.4475840287
12	0.4394566627
13	0.4314111168
14	0.4246437142
15	0.4174678144
16	0.4118299719
17	0.4068372811
18	0.4011587548
19	0.395584599
20	0.3917005468
21	0.3877060752
22	0.383460885
23	0.3799311883
24	0.3769158168
25	0.3731715765
26	0.3700785576
27	0.3668117421
28	0.3643777592
29	0.3621194724
30	0.3589384452
31	0.3563883399
32	0.3541042878
33	0.3516194068
34	0.3496169709
35	0.3476070429
36	0.3458653131
37	0.3445171945
38	0.3432375278
39	0.3413848701
40	0.3396854017
41	0.3384307354
42	0.3371910768
43	0.3357751455
44	0.3348298168
45	0.3333689692
46	0.3321332373
47	0.3306690565
48	0.3296965373
49	0.3287642866
50	0.3277942627
51	0.3264574578
52	0.3252458236
53	0.3241773835
54	0.3235243441
55	0.3225837463
56	0.321800732
57	0.3210725593
58	0.3205342766
59	0.3196542079
60	0.3190180847
61	0.3186181944
62	0.3179195295
63	0.3172888052
64	0.3166233916
65	0.3161614886
66	0.3154117029
67	0.3147315753
68	0.3140605237
69	0.3134311796
70	0.3129989355
71	0.3124598252
72	0.3119392296
73	0.3114669525
74	0.3110159865
75	0.3105727219
76	0.3102201895
77	0.3098548251
78	0.3094805034
79	0.3090282467
80	0.3087578653
81	0.3082852799
82	0.3078026622
83	0.3075286149
84	0.3071966265
85	0.3067918803
86	0.3064973173
87	0.3062143029
88	0.3059253658
89	0.3056547556
90	0.305374326
91	0.3051034956
92	0.3049162338
93	0.3046487063
94	0.3044439621
95	0.3043070823
96	0.3040409289
97	0.3037617705
98	0.3035038432
99	0.3032971702
100	0.303094364
101	0.3028067982
102	0.3025474572
103	0.3023657249
104	0.3021510865
105	0.3019688649
106	0.3017897721
107	0.3016166251
108	0.301385492
109	0.3012164047
110	0.3010730009
111	0.3009231732
112	0.3007750281
113	0.3006216626
114	0.3005409757
115	0.3004498902
116	0.3003539048
117	0.3002304039
118	0.300087358
119	0.2999674868
120	0.2997728358
121	0.299701217
122	0.2995698636
123	0.2994795456
124	0.2993550442
125	0.299227211
126	0.2990791792
127	0.2989625419
128	0.2988544296
129	0.298722219
130	0.2986000876
131	0.2984930374
132	0.2983858229
133	0.2982865293
134	0.2981843663
135	0.2980663268
136	0.2979454564
137	0.2978702866
138	0.2977464795
139	0.2976517445
140	0.2975884264
141	0.2975038466
142	0.2974107844
143	0.2973120146
144	0.2972143093
145	0.2971333055
146	0.2970710832
147	0.2969955178
148	0.2968946826
149	0.2968094635
150	0.2967544678
151	0.2966911998
152	0.2966452048
153	0.2965867976
154	0.2964706495
155	0.2964343269
156	0.29642123
157	0.2963620931
158	0.2962809257
159	0.2962161527
160	0.296140967
161	0.2960708075
162	0.2960031674
163	0.2959554693
164	0.2959232813
165	0.2958560474
166	0.2958188107
167	0.2957358203
168	0.2957042609
169	0.2956579748
170	0.2956227898
171	0.2955555208
172	0.2954969711
173	0.2954968336
174	0.2954688331
175	0.2953869658
176	0.2953431252
177	0.2952862725
178	0.2952200766
179	0.2951653205
180	0.2951231128
181	0.2950270179
182	0.2949740195
183	0.2949059905
184	0.2948523361
185	0.29479417
186	0.2947567343
187	0.2947197951
188	0.2946730227
189	0.2946216725
190	0.2945578757
191	0.2944794531
192	0.2944363911
193	0.2943719261
194	0.294310792
195	0.294255071
196	0.2942179764
197	0.2941636724
198	0.2941080796
199	0.2940720326
200	0.2940139582
201	0.293960363
202	0.2939111879
203	0.2938763222
204	0.293829937
205	0.2937723056
206	0.2937106496
207	0.2936674875
208	0.29360983
209	0.2935512422
210	0.2934839188
211	0.2934571458
212	0.2934149889
213	0.2933653956
214	0.293342408
215	0.2933117123
216	0.2932371546
217	0.2931667225
218	0.2931243883
219	0.2930846849
220	0.2930223046
221	0.2929880207
222	0.292956276
223	0.2928946019
224	0.2928441768
225	0.2927749391
226	0.292765996
227	0.2927115193
228	0.2926387531
229	0.2925912542
230	0.2925260865
231	0.2924784628
232	0.2924423
233	0.2923971795
234	0.2923258236
235	0.2922742047
236	0.2922043781
237	0.2921698297
238	0.2921396845
239	0.2921122687
240	0.2920648938
241	0.2920068292
242	0.2919411176
243	0.2918864421
244	0.2918261184
245	0.2917880642
246	0.2917481161
247	0.2916980263
248	0.2916275626
249	0.2915730148
250	0.2915311532
251	0.2914678482
252	0.291414393
253	0.2913465785
254	0.2912876945
255	0.2912234043
256	0.2911847508
257	0.2911477806
258	0.2911046766
259	0.2910474702
260	0.29100998
261	0.2909533597
262	0.2908975872
263	0.2908518641
264	0.2908018096
265	0.290745614
266	0.2906876911
267	0.2906405756
268	0.2906092024
269	0.2905553911
270	0.2905218058
271	0.2904710258
272	0.2904139687
273	0.2903498914
274	0.2902881467
275	0.2902276307
276	0.2902016742
277	0.2901444723
278	0.2900821087
279	0.2900274638
280	0.28997982
281	0.289932148
282	0.2898852577
283	0.2898537784
284	0.2898045306
285	0.2897775698
286	0.2897212066
287	0.2896654497
288	0.2896237012
289	0.2895753198
290	0.2895389791
291	0.2894839874
292	0.2894308513
293	0.2893953461
294	0.2893632185
295	0.2893072266
296	0.2892534183
297	0.2892207147
298	0.2891747848
299	0.2891184656
300	0.2890760873
301	0.289023014
302	0.2889911558
303	0.2889352789
304	0.2888921619
305	0.2888609843
306	0.2888164057
307	0.2887710998
308	0.2887427495
309	0.2886922883
310	0.2886597097
311	0.2886263475
312	0.2885826094
313	0.2885254428
314	0.2884759481
315	0.2884187764
316	0.288357987
317	0.2883344104
318	0.2882932464
319	0.2882476321
320	0.2882231113
321	0.28817093
322	0.2881211069
323	0.2880894894
324	0.2880496024
325	0.2880276298
326	0.2879977274
327	0.2879616893
328	0.2879137075
329	0.2878590603
330	0.2877979299
331	0.2877661851
332	0.2877133515
333	0.2876743053
334	0.2876127925
335	0.2875698531
336	0.2875174435
337	0.2874977085
338	0.2874575717
339	0.2874076301
340	0.2874072423
341	0.2873407099
342	0.2872943413
343	0.2872452566
344	0.2872145722
345	0.2871653081
346	0.2871167042
347	0.2870809247
348	0.287075213
349	0.2870323318
350	0.286984895
351	0.2869341137
352	0.2869288065
353	0.2868670001
354	0.2868174409
355	0.2867654934
356	0.2867158467
357	0.2866588463
358	0.2866256629
359	0.2865837896
360	0.2865377178
361	0.2865117178
362	0.28646068
363	0.2863961287
364	0.2863484442
365	0.2862893035
366	0.2862412035
367	0.2862090131
368	0.2861712088
369	0.2861329689
370	0.2861017321
371	0.2860633128
372	0.2860282787
373	0.285969987
374	0.2859227667
375	0.2858948249
376	0.2858359842
377	0.2857923139
378	0.285761469
379	0.285731359
380	0.2856857838
381	0.2856405488
382	0.2855890282
383	0.2855407932
384	0.2855138597
385	0.2854854392
386	0.2854539399
387	0.2854309425
388	0.285382741
389	0.2853345869
390	0.2852714373
391	0.2852231773
392	0.2851754506
393	0.2851266951
394	0.2850899196
395	0.2850540234
396	0.285037923
397	0.2850050937
398	0.2849573251
399	0.2849142242
400	0.2848605328
401	0.2848084451
402	0.2847695093
403	0.2847095428
404	0.2846726702
405	0.2846571888
406	0.2846262684
407	0.2845995938
408	0.2845641704
409	0.2845313954
410	0.2845062476
411	0.2844641556
412	0.2844162823
413	0.2843690863
414	0.2843236024
415	0.2842857875
416	0.2842526173
417	0.2841923175
418	0.2841739607
419	0.2841249744
420	0.2840739373
421	0.2840499473
422	0.2840039406
423	0.283958822
424	0.2839410209
425	0.2838847647
426	0.2838465246
427	0.2837995828
428	0.2837539233
429	0.2837028916
430	0.2836853206
431	0.2836549932
432	0.2836112194
433	0.283577119
434	0.2835262308
435	0.2834741408
436	0.2834356276
437	0.2834024693
438	0.2833707214
439	0.2833165162
440	0.2832740359
441	0.2832716837
442	0.2832440652
443	0.2831934679
444	0.283158087
445	0.283142224
446	0.2830971912
447	0.2830507268
448	0.2830161484
449	0.2829857826
450	0.2829308628
451	0.2829082911
452	0.2828633121
453	0.2828264155
454	0.2827656195
455	0.2827081548
456	0.2826843703
457	0.2826404564
458	0.282614119
459	0.2825659573
460	0.2825222648
461	0.2824964671
462	0.2824542029
463	0.2824181651
464	0.2823741206
465	0.2823279412
466	0.2823015085
467	0.2822592036
468	0.2822128219
469	0.2821633783
470	0.28213136
471	0.2820992841
472	0.2820861631
473	0.28206765
474	0.2820365083
475	0.2820107913
476	0.2819860261
477	0.2819474326
478	0.281903023
479	0.2818697077
480	0.2818313596
481	0.2817971142
482	0.2817577608
483	0.2817181709
484	0.2816785388
485	0.2816498915
486	0.2816126949
487	0.2815681296
488	0.2815143561
489	0.2814699467
490	0.2814238981
491	0.2813661486
492	0.2813140815
