iter	Passed	Remaining
0	272	272061
1	365	182194
2	454	151135
3	548	136606
4	645	128393
5	740	122756
6	836	118612
7	930	115382
8	1033	113837
9	1127	111615
10	1235	111056
11	1329	109478
12	1425	108246
13	1520	107096
14	1609	105704
15	1716	105553
16	1815	104958
17	1913	104391
18	2014	104018
19	2126	104213
20	2228	103901
21	2330	103580
22	2427	103115
23	2530	102923
24	2666	103995
25	2764	103546
26	2863	103179
27	2974	103241
28	3075	102971
29	3178	102763
30	3304	103280
31	3408	103098
32	3504	102687
33	3605	102441
34	3702	102073
35	3799	101732
36	3896	101426
37	4025	101897
38	4124	101627
39	4228	101484
40	4325	101163
41	4424	100911
42	4522	100656
43	4619	100377
44	4718	100139
45	4815	99865
46	4909	99552
47	5007	99306
48	5111	99208
49	5216	99119
50	5328	99157
51	5431	99024
52	5554	99241
53	5669	99313
54	5774	99220
55	5898	99423
56	5991	99128
57	6087	98867
58	6200	98892
59	6299	98690
60	6410	98674
61	6520	98642
62	6626	98558
63	6725	98364
64	6829	98234
65	6932	98105
66	7033	97951
67	7135	97801
68	7241	97710
69	7347	97616
70	7444	97405
71	7552	97346
72	7653	97189
73	7752	97005
74	7851	96833
75	7946	96615
76	8048	96471
77	8145	96283
78	8239	96062
79	8339	95902
80	8437	95730
81	8543	95639
82	8643	95492
83	8764	95573
84	8867	95453
85	8959	95224
86	9055	95032
87	9155	94880
88	9254	94732
89	9352	94561
90	9445	94352
91	9549	94249
92	9649	94107
93	9767	94140
94	9866	93996
95	9988	94062
96	10096	93989
97	10195	93840
98	10298	93724
99	10401	93616
100	10502	93480
101	10608	93399
102	10708	93258
103	10807	93113
104	10904	92946
105	11006	92828
106	11105	92683
107	11222	92690
108	11323	92560
109	11423	92425
110	11518	92255
111	11618	92120
112	11713	91945
113	11811	91798
114	11906	91628
115	12006	91498
116	12126	91521
117	12229	91410
118	12334	91319
119	12430	91160
120	12538	91086
121	12639	90962
122	12739	90833
123	12835	90675
124	12933	90532
125	13049	90518
126	13149	90386
127	13248	90256
128	13352	90153
129	13454	90044
130	13555	89923
131	13663	89847
132	13761	89710
133	13867	89621
134	13968	89502
135	14070	89388
136	14182	89338
137	14283	89221
138	14384	89101
139	14484	88976
140	14596	88925
141	14700	88826
142	14798	88687
143	14894	88538
144	14994	88418
145	15103	88343
146	15201	88207
147	15302	88093
148	15406	87991
149	15505	87861
150	15603	87729
151	15700	87590
152	15796	87450
